N.Y State of Mind,90,Hip-Hop
No One Knows,2000,Rock
Summertime Sadness,2010,Pop
Kill Bill,2020,R&B
Takeover,2000,Hip-hop
Black Dog,70,Rock
The Hills,2010,R&B
360,2020,Pop
Mr. Self Destruct,90,Rock
I THINK,2010,Hip-Hop
5/4,2000,Rock
Angel,90,Electronic
Seabeast,2000,Metal
Lazarus,2010,Rock
Hit 'Em Up,90,Hip-Hop
Master of Puppets,80,Metal
One More Time,2000,Electronic
Mountains,80,Pop
God's Plan,2010,Hip-Hop
Not Like Us,2020,Hip-Hop
ringtone,2010,Pop
wonder 2,2010,Rock
Mr. Brightside,2000,Rock
Suit & Tie,2010,Pop
